순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
8091,영동산업사,김○○,해당없음,부산광역시 사하구 하신번영로 139 (신평동),051-207-8661,051-207-8677,1963-06-01,1963-06-01,1998-02-26,2007-09-05,3887.75,2132.4,590.75,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/준공업지역
8092,영동오부라이트,최○○,해당없음,"부산광역시 사상구 모덕로96번길 7 (덕포동, 혁우산업)",051-302-3355,051-302-3357,미등록,미등록,1992-09-04,2002-08-20,1381.7,535.53,42.51,"17223, 17909",식품 위생용 종이 상자 및 용기 제조업 외 1종,도시지역/공업지역/준공업지역
8093,영동오부라이트  ,최○○○,해당없음,부산광역시 기장군 장안읍 반룡산단3로 96,051-302-3355,051-302-3357,2021-02-25,2021-02-25,2022-08-19,2022-08-19,3887.5,2197.8,841.42,10603,과자류 및 코코아 제품 제조업,도시지역/공업지역/일반공업지역
8094,영동합포(유),고○○,해당없음,"부산광역시 사상구 낙동대로1318번길 64 (삼락동, 영동합포(유))",051-301-5406,051-301-5067,2003-12-19,2003-12-19,2006-04-17,2006-04-17,885,277.75,779.58,"13991, 17103, 17106, 17109",세폭직물 제조업 외 3종,도시지역/공업지역/준공업지역
8095,영림전자,조○○,해당없음,부산광역시 해운대구 재송1로46번길 45 (재송동),051-781-1042,051-784-8301,미등록,미등록,1999-12-16,2017-06-02,330,165,35,"26299, 26294",그 외 기타 전자부품 제조업 외 1종,도시지역/주거지역/제2종일반주거지역
8096,영모화학,안○○,해당없음,부산광역시 강서구 대저중앙로 360-5 (대저1동),051-971-3594,051-971-3595,미등록,미등록,2015-06-10,2022-06-07,357,345,15,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",도시지역/주거지역/제1종일반주거지역
8097,영문사,오○○,해당없음,부산광역시 서구 대영로86번길 55-8 (동대신동1가),051-256-9997,051-247-0575,1998-01-01,1998-01-01,1990-12-07,2013-08-07,119,87.74,0,"18119, 18113",기타 인쇄업 외 1종,도시지역/주거지역
8098,영민섬유공업(주),이○○,해당없음,부산광역시 사상구 사상로433번길 23 (모라동),051-303-8233,051-303-8235,2010-02-25,2010-02-25,2010-03-09,2010-03-09,1539.1,777.81,675.03,13213,화학섬유직물 직조업,도시지역/공업지역/준공업지역
8099,영보산업,송○○○○,해당없음,부산광역시 사하구 을숙도대로755번길 79 (구평동),051-263-1178,051-266-0294,1992-04-06,1992-04-06,1999-07-28,1999-07-28,0,252,0,18121,제판 및 조판업,도시지역/공업지역/준공업지역
8100,영석기업     ,김○○○○○○○,해당없음,"부산광역시 기장군 정관읍 정관로 801, 유일고무(주)제2공장(농공)",070-4194-2236,051-728-5388,2016-09-12,미등록,2017-02-07,2017-02-07,0,1000,0,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/일반공업지역
8101,영성금속(주),유○○,해당없음,부산광역시 사상구 낙동대로1446번길 10 (삼락동),051-302-3863,051-301-3863,미등록,미등록,2025-05-16,2025-05-16,376.8,262,227,22299,그 외 기타 플라스틱 제품 제조업,도시지역/공업지역/준공업지역
8102,영성전기,정○○,해당없음,부산광역시 영도구 대평로27번길 21 (대평동1가),051-417-5325,051-416-5324,미등록,미등록,2014-12-31,2014-12-31,109.1,15.16,3.76,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
8103,영성종합포장,이○○,해당없음,부산광역시 강서구 녹산산단382로 17 (송정동),051-941-4545,051-941-4546,2018-08-21,미등록,2018-08-21,2018-08-21,0,1650,0,17212,골판지 상자 및 가공제품 제조업,도시지역/공업지역/일반공업지역
8104,영성테크,정○○,해당없음,부산광역시 강서구 대저중앙로286번길 90-1 (대저1동),051-831-0121,051-831-0122,미등록,미등록,2015-05-18,2015-05-18,386,207.1,10,29293,주형 및 금형 제조업,도시지역/주거지역/제1종일반주거지역
8105,영성테크,손○○,해당없음,부산광역시 사상구 낙동대로1302번길 43 (삼락동),051-301-9509,051-301-9502,미등록,미등록,2013-10-28,2013-10-28,525.2,366.52,54.08,29293,주형 및 금형 제조업,도시지역/공업지역/준공업지역
8106,영수정밀연마,김○○,해당없음,부산광역시 사상구 낙동대로1048번길 41(감전동),051-315-1905,051-311-1905,미등록,미등록,2026-05-06,2026-05-06,371.3,242.22,33,25929,그 외 기타 금속가공업,도시지역/공업지역/준공업지역
8107,영신ENG,조○○,해당없음,부산광역시 강서구 대저중앙로 360-3 (대저1동),051-316-4748,051-311-9816,미등록,미등록,2015-06-08,2015-07-24,330,182.31,13.5,"29199, 29177",그 외 기타 일반목적용 기계 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
8108,영신기계,김○○,해당없음,"부산광역시 사상구 사상로393번길 7 (덕포동, 유성금속)",051-304-9977,051-304-9979,1998-01-01,1998-01-01,1997-04-24,1997-04-24,821.8,272.02,43.06,"29199, 29177",그 외 기타 일반목적용 기계 제조업 외 1종,도시지역/공업지역/준공업지역
8109,영신기업(주),김○○,해당없음,"부산광역시 영도구 해양로15번길 1, 영신기업 공장 (청학동)",051-415-3824,미등록,미등록,미등록,2024-11-21,2024-11-21,413,293,120,31114,선박 구성 부분품 제조업,도시지역/공업지역/전용공업지역
8110,영신단플라스틱,유○○,해당없음,부산광역시 강서구 강동동 83-15번지,미등록,055-339-8054,미등록,미등록,2014-08-13,2014-08-13,613,365.82,53.82,22232,포장용 플라스틱 성형용기 제조업,도시지역/주거지역/제1종일반주거지역
8111,영신사,이○○,해당없음,부산광역시 강서구 울만로 308-1 (대저2동),051-941-8921,051-644-8923,미등록,미등록,2009-08-03,2017-07-24,0,459,0,"17221, 17222, 17223, 17229, 17901, 17902, 18111, 18119, 18129",종이 포대 및 가방 제조업 외 8종,도시지역/주거지역/제1종일반주거지역
8112,영신선재,오○○,해당없음,부산광역시 강서구 평성길 5-14 (명지동),051-271-6130,051-271-6131,미등록,미등록,2009-09-30,2009-09-30,1134,299.4,0,25944,금속선 가공제품 제조업,도시지역/주거지역/제1종일반주거지역
8113,영신소재,이○○,해당없음,부산광역시 강서구 녹산산단231로 6 (송정동),051-831-6291,051-831-6293,2015-01-21,2015-01-21,2015-01-22,2015-01-22,0,763,93.5,20202,합성수지 및 기타 플라스틱 물질 제조업,도시지역/공업지역/일반공업지역
8114,영신열기공업(주),이○○,해당없음,부산광역시 사상구 학장동 722-46,051-311-1370,051-326-3378,1994-10-13,미등록,1994-10-13,2024-12-18,901.5,492.89,123.17,"25122, 25123",금속탱크 및 저장용기 제조업 외 1종,도시지역/공업지역/일반공업지역
8115,영신정밀,정○○,해당없음,부산광역시 사하구 을숙도대로569번길 35 (신평동),051-203-7975,미등록,미등록,미등록,2012-04-20,2018-03-15,555,229.14,124.56,25924,절삭가공 및 유사처리업,도시지역/공업지역/전용공업지역
8116,영신종합포장,김○○,해당없음,부산광역시 강서구 평강로187번길 11 (대저1동),미등록,미등록,미등록,미등록,2013-03-07,2013-03-07,550,300,0,"17211, 17212",골판지 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
8117,영신철강(주),손○○,해당없음,"부산광역시 사상구 새벽로 49 (학장동, 영신철강)",051-313-3367,051-313-3369,2007-01-05,미등록,2007-01-05,2007-01-05,1007.4,300,449.23,24199,그 외 기타 1차 철강 제조업,도시지역/공업지역/전용공업지역
8118,영신폴리머,박○○,해당없음,부산광역시 강서구 낙동북로138번길 46 (강동동),051-973-3661,051-973-3664,미등록,미등록,2014-07-16,2014-07-16,719,418,0,29293,주형 및 금형 제조업,도시지역/주거지역/제1종일반주거지역
8119,영양산업,박○○,해당없음,부산광역시 강서구 과학산단로333번길 77-30(지사동),051-941-7073,051-831-7075,2022-07-22,2025-01-20,2022-08-04,2025-01-20,0,530.16,37.6,"29161, 25122, 25923, 30320",산업용 트럭 및 적재기 제조업 외 3종,도시지역/공업지역/일반공업지역
8120,영어조합법인 마리솔,이○○,해당없음,부산광역시 사하구 감천항로 451(구평동),051-442-0467,051-442-0469,미등록,미등록,2022-04-11,2022-04-11,314.5,339.04,76.5,10213,수산동물 냉동품 제조업,도시지역/공업지역/일반공업지역
8121,영우,김○○○○○○○,해당없음,부산광역시 강서구 과학산단2로19번길 100-96 (지사동),미등록,미등록,2017-10-24,미등록,2019-03-25,2019-03-25,2113,1244.16,79.18,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,도시지역/공업지역/일반공업지역
8122,영우정공,홍○○,부산청정도금센터,"부산광역시 강서구 녹산산단382로14번가길 20, 1층 103호 (송정동, 한국청정도금센터)",051-972-7858,051-972-7868,2020-12-29,2020-12-29,2021-04-09,2021-04-09,627.12,453.75,176.26,25922,도금업,도시지역/공업지역/일반공업지역
8123,영우출판인쇄사,배○○,해당없음,부산광역시 부산진구 부전로 15-2 (부전동),051-806-7654,051-807-7654,미등록,미등록,2003-04-01,2009-08-28,36,36,0,"18119, 18113, 58113, 58190",기타 인쇄업 외 3종,도시지역/상업지역/일반상업지역
8124,영은전기,최○○,해당없음,부산광역시 영도구 남항남로19번길 62 (남항동2가),051-417-5558,051-417-7778,미등록,미등록,2017-08-16,2017-08-16,100,100,0,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
8125,영인에스씨아이(영인SCI),안○○,해당없음,부산광역시 강서구 식만로 205(식만동),미등록,051-266-0111,미등록,미등록,2022-06-03,2022-06-03,584,293.58,4.5,27213,"물질 검사, 측정 및 분석기구 제조업",도시지역/주거지역/제1종일반주거지역
8126,영인코리아(주),문○○,해당없음,부산광역시 강서구 낙동남로511번길 17 (녹산동),051-714-7066,051-831-4635,2015-11-17,2015-11-17,2015-11-18,2018-12-19,0,675,676.5,"15211, 15219, 15220",구두류 제조업 외 2종,도시지역/공업지역/일반공업지역
8127,영인코리아(주),문○○,해당없음,부산광역시 강서구 낙동남로511번길 18(녹산동),051-714-7066,070-7500-8113,2014-11-25,2014-11-25,2022-02-18,2022-02-18,3314,819.85,111.6,"15211, 15219, 15220",구두류 제조업 외 2종,도시지역/공업지역/일반공업지역
8128,영일금속,연○○,해당없음,부산광역시 강서구 강동중곡2길 53 (강동동),미등록,미등록,미등록,미등록,2008-05-15,2008-05-15,0,450.45,0,"26221, 26222, 26223, 26224, 26294, 26299",인쇄회로기판용 적층판 제조업 외 5종,도시지역/주거지역/제1종일반주거지역
8129,영일기계,이○○,해당없음,"부산광역시 사상구 새벽로77번길 27 (학장동, 영일기계)",051-328-9215,051-323-9372,2006-01-19,2006-01-19,2008-09-29,2008-09-29,1479.3,957,120,"29299, 29261",그 외 기타 특수목적용 기계 제조업 외 1종,도시지역/공업지역/전용공업지역
8130,영일기계,윤○○,해당없음,부산광역시 강서구 화전산단6로102번길 8 (화전동),051-831-2003,051-831-2010,2006-10-18,2006-10-18,2012-06-15,2012-06-15,1674.8,1117.92,634.54,31202,철도차량 부품 및 관련 장치물 제조업,도시지역/공업지역/일반공업지역
8131,영일기공,이○○,해당없음,부산광역시 사상구 가야대로134번길 22 (학장동),051-324-4403,051-316-0559,2003-01-08,미등록,2003-01-08,2003-01-08,408.5,224.8,179.16,29142,기어 및 동력전달장치 제조업,도시지역/공업지역/전용공업지역
8132,영일벤놀,이○○,해당없음,부산광역시 강서구 녹산산단382로 24 (송정동),051-831-5454,051-831-6336,1996-06-10,1996-06-10,2002-08-13,2007-03-08,3300.3,3237.24,889.99,13402,"직물, 편조원단 및 의복류 염색 가공업",도시지역/공업지역/일반공업지역
8133,영일와이어,안○○,해당없음,부산광역시 강서구 대저중앙로357번길 26-9 (대저1동),051-832-8177,051-832-8178,미등록,미등록,2018-05-14,2018-05-14,541,276.04,46.92,29223,금속 절삭기계 제조업,도시지역/주거지역/제1종일반주거지역
8134,영일철판,곽○○,해당없음,부산광역시 사상구 모덕로 77 (모라동),051-303-7849,051-305-7849,미등록,미등록,2007-05-21,2007-05-21,263.14,232.73,30.14,"25113, 25114",육상 금속 골조 구조재 제조업 외 1종,도시지역/공업지역/준공업지역
8135,영일특수목형,윤○○,해당없음,부산광역시 강서구 신포길 145 (명지동),051-312-8127,미등록,미등록,미등록,2011-07-27,2011-07-27,488,290.4,0,29293,주형 및 금형 제조업,도시지역/주거지역/제1종일반주거지역
8136,영재금속,권○○,해당없음,"부산광역시 사상구 학감대로192번길 77 (학장동, 영재금속)",051-316-7322,051-316-8323,2003-05-16,미등록,2003-05-16,2003-05-16,497.3,298.24,370.24,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/전용공업지역
8137,영재엔지니어링,임○○,해당없음,부산광역시 강서구 식만로247번길 40-1 (식만동),미등록,미등록,미등록,미등록,2021-06-07,2021-06-07,562,327.6,0,29199,그 외 기타 일반목적용 기계 제조업,도시지역/주거지역/제1종일반주거지역
8138,영재열처리,조○○,해당없음,부산광역시 사상구 사상로439번길 20 (모라동),051-304-8688,051-304-8689,미등록,미등록,2013-07-26,2013-07-26,1470,470,1000,25921,금속 열처리업,도시지역/공업지역/준공업지역
8139,영전사,김○○,해당없음,"부산광역시 사상구 새벽시장로46번길 54 (감전동, 영전사)",051-314-1631,051-314-1634,미등록,미등록,2003-12-18,2003-12-18,633.48,501.48,132,28123,배전반 및 전기 자동제어반 제조업,도시지역/공업지역/준공업지역
8140,영준산업,서○○,해당없음,부산광역시 강서구 미음국제5로라길 39 (미음동),미등록,미등록,2021-05-21,2021-05-21,2021-05-21,2021-05-21,991.1,663.06,66.21,30310,자동차 엔진용 신품 부품 제조업,도시지역/공업지역/일반공업지역
8141,영진공판인쇄사,최○○,해당없음,부산광역시 중구 대창동1가 26번지,051-469-5486,051-463-5359,1974-11-19,1974-11-19,1974-11-19,1974-11-19,36.3,33,26.4,"17103, 17106",인쇄용 및 필기용 원지 제조업 외 1종,도시지역/상업지역/일반상업지역
8142,영진금속,하○○,해당없음,부산광역시 기장군 장안읍 반룡로 301,051-941-0242,051-941-0243,미등록,미등록,2014-08-21,2024-08-18,1994,264.6,210.7,"25913, 25119, 25914, 25924, 25929, 25932, 29169, 29199, 29293, 31999",자동차용 금속 압형제품 제조업 외 9종,도시지역/녹지지역/자연녹지지역
8143,영진금속,이○○,해당없음,부산광역시 사상구 새벽로18번길 24 (학장동),051-264-9624,051-264-4794,2001-06-04,미등록,2001-06-04,2001-06-04,455.48,263.74,191.74,25922,도금업,도시지역/공업지역/전용공업지역
8144,영진금속,장○○,해당없음,"부산광역시 사상구 새벽로17번길 49-8 (학장동, 영진금속)",051-328-7693,051-328-7694,2004-03-22,미등록,2004-03-22,2004-03-22,409.9,192.96,0,25922,도금업,도시지역/공업지역/전용공업지역
8145,영진기계공업사,박○○,해당없음,"부산광역시 사상구 낙동대로1356번길 33 (삼락동, 영진기계)",051-301-3723,051-301-3724,미등록,미등록,2006-10-19,2006-10-19,256.2,153.58,91.15,"24132, 24133",강관 제조업 외 1종,도시지역/공업지역/준공업지역
8146,영진기업,허○○,해당없음,"부산광역시 영도구 태종로89번길 40 (봉래동2가, 일생기업사)",051-415-4560,051-413-4561,미등록,미등록,2012-10-30,2021-03-04,90.25,80,10.25,"31114, 25112",선박 구성 부분품 제조업 외 1종,도시지역/상업지역/일반상업지역
8147,영진니트,김○○,해당없음,"부산광역시 부산진구 신암로71번길 10, 지하 1층 (범천동)",051-831-4803,051-831-4805,미등록,미등록,2014-09-05,2014-09-05,357,157.76,122.35,13300,편조원단 제조업,도시지역/상업지역/일반상업지역
8148,영진메탈,변○○,해당없음,부산광역시 강서구 공항로393번길 60-27 (대저2동),051-971-5523,051-971-5570,미등록,미등록,2017-09-25,2017-09-25,1885,489.24,0,25932,일반철물 제조업,도시지역/주거지역/제1종일반주거지역
8149,영진목형,제○○,해당없음,부산광역시 강서구 봉죽길482번길 258 (죽동동),미등록,미등록,미등록,미등록,2012-05-18,2012-05-18,359,195.78,0,29293,주형 및 금형 제조업,도시지역/주거지역/제1종일반주거지역
8150,영진볼트,이○○,해당없음,미등록,미등록,051-831-9773,2018-10-15,2018-10-15,미등록,미등록,0,41.62,8.21,미등록,미등록,도시지역/상업지역/일반상업지역
8151,영진볼트,방○○,해당없음,"부산광역시 사상구 사상로333번길 14 (덕포동, 영진볼트(공))",051-301-8466,051-301-8468,미등록,미등록,2009-01-05,2009-01-05,663,378.88,194.1,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2종,도시지역/공업지역/준공업지역
8152,영진산업,김○○,해당없음,부산광역시 강서구 낙동남로605번길 58 (녹산동),051-271-1989,미등록,미등록,미등록,2012-01-30,2012-01-30,532,297,0,29133,"탭, 밸브 및 유사장치 제조업",도시지역/주거지역/제1종일반주거지역
8153,영진산업,김○○,해당없음,부산광역시 강서구 낙동남로605번길 60 (녹산동),051-271-1989,051-271-1912,미등록,미등록,2011-09-07,2011-09-07,513,297,0,29133,"탭, 밸브 및 유사장치 제조업",도시지역/주거지역/제1종일반주거지역
8154,영진산업,김○○,해당없음,부산광역시 사상구 낙동대로1318번길 20 (삼락동),051-305-8001,051-303-2077,미등록,미등록,1993-02-27,1993-02-27,778.2,248.23,104.86,"25941, 25942, 25999",볼트 및 너트류 제조업 외 2종,도시지역/공업지역/준공업지역
8155,영진산업,강○○,해당없음,"부산광역시 사상구 사상로394번길 14 (덕포동, 영진비죠)",051-303-6776,051-303-6266,미등록,미등록,1999-03-05,2007-08-28,440.3,161.39,88.13,"15219, 15220",기타 신발 제조업 외 1종,도시지역/공업지역/준공업지역
8156,영진상사,이○○,해당없음,부산광역시 서구 해돋이로 281 (아미동2가),051-256-8106,051-246-0213,1998-01-01,1998-01-01,2000-07-20,2013-09-04,356.7,205.55,0,"14192, 14111, 14112, 14191, 14193, 14194, 14199","근무복, 작업복 및 유사의복 제조업 외 6종",도시지역/주거지역
8157,영진설비,김○○,해당없음,부산광역시 사하구 다산로53번길 55 (다대동),미등록,미등록,2025-09-15,2025-09-15,2025-09-15,2025-09-15,0,940.16,0,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/일반공업지역
8158,영진식품,박○○,해당없음,부산광역시 사하구 장평로 10 (장림동) (총 3 필지),051-265-2036,051-265-2038,1994-06-15,2009-08-18,1994-08-04,2014-01-17,2380,2717.7,487.4,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",도시지역/공업지역/준공업지역
8159,영진식품,박○○,해당없음,부산광역시 동구 중앙대로231번길 26 (초량동),051-467-1049,051-000-0000,1979-06-30,1979-06-30,1979-06-30,1979-06-30,145,145,0,10219,기타 수산동물 가공 및 저장 처리업,도시지역/상업지역/일반상업지역
8160,영진실업(주) ,권○○,해당없음,부산광역시 금정구 회동동 554-1번지,051-529-1155,051-529-9960,2011-11-24,미등록,2015-02-10,2017-09-06,3952.3,2663,1017.17,29293,주형 및 금형 제조업,도시지역/공업지역/일반공업지역
8161,영진실업주식회사,권○○○○○○,해당없음,부산광역시 금정구 수원지로22번길 64 (회동동),051-529-1155,051-529-9960,미등록,미등록,2024-12-13,2024-12-13,658,260.79,196.54,"15211, 15219",구두류 제조업 외 1종,도시지역/공업지역/준공업지역
8162,영진알미늄,김○○,해당없음,부산광역시 강서구 제도로 102 (명지동),미등록,051-971-1810,미등록,미등록,2013-06-27,2013-06-27,238,133.78,0,25112,구조용 금속 판제품 및 공작물 제조업,도시지역/주거지역/제1종일반주거지역
8163,영진전기,신○○,해당없음,"부산광역시 사상구 학감대로163번길 13-16(학장동, 신호정공)",미등록,미등록,2025-04-11,2025-04-11,2025-06-12,2025-06-12,361.5,247.95,0,28123,배전반 및 전기 자동제어반 제조업,도시지역/공업지역/준공업지역
8164,영진전기공업사,권○○,해당없음,"부산광역시 사상구 낙동대로1488번길 27 (삼락동, 영진전기)",051-302-4666,051-303-4668,미등록,미등록,2002-03-14,2002-03-14,560,390,23.1,28123,배전반 및 전기 자동제어반 제조업,도시지역/공업지역/준공업지역
8165,영진정밀,이○○,해당없음,부산광역시 사상구 사상로433번길 69 (모라동),051-302-5794,051-302-5793,미등록,미등록,2026-01-23,2026-01-23,389.2,258.99,41.88,25929,그 외 기타 금속가공업,도시지역/공업지역/준공업지역
8166,영진정밀연마,한○○,해당없음,부산광역시 강서구 호계로79번길 71 (죽동동),051-326-3578,051-311-9943,미등록,미등록,2015-07-31,2015-07-31,850,388.3,6.5,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/주거지역/제1종일반주거지역
8167,영진주물,김○○,해당없음,부산광역시 강서구 녹산산단381로12번길 43-15 (송정동),051-831-0456,051-831-0457,2000-09-01,2000-09-01,2000-05-18,2000-05-18,2021.2,1406.5,255,24311,선철주물 주조업,도시지역/공업지역/일반공업지역
8168,영진주물 2공장,김○○,해당없음,부산광역시 강서구 녹산산단381로86번길 29 (송정동),051-831-0455,051-831-0457,2018-05-30,미등록,2018-06-12,2022-10-20,1224,418.71,112.5,25929,그 외 기타 금속가공업,도시지역/공업지역/일반공업지역
8169,영진케스택,김○○,해당없음,부산광역시 강서구 녹산산단407로 92 (송정동),미등록,051-831-0457,2025-01-07,2025-01-07,2025-01-09,2025-02-06,1651.4,250,0,29293,주형 및 금형 제조업,도시지역/공업지역/일반공업지역
8170,영진테크,전○○,해당없음,부산광역시 강서구 식만로247번길 31 (식만동),051-303-3050,051-303-3060,미등록,미등록,2014-08-21,2014-08-21,973,419.8,4,"25113, 25114, 26329",육상 금속 골조 구조재 제조업 외 2종,도시지역/주거지역/제1종일반주거지역
8171,영진파워텍,박○○,해당없음,부산광역시 사하구 하신중앙로 100 (신평동),051-261-4289,051-911-4290,미등록,미등록,2017-06-22,2019-03-04,330,300,30,"25943, 25200, 30399",금속 스프링 제조업 외 2종,도시지역/공업지역/전용공업지역
8172,영진포장,김○○,해당없음,부산광역시 강서구 대저중앙로347번길 64-1 (대저1동),미등록,051-973-6461,미등록,미등록,2014-12-08,2014-12-08,630,344,7,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",도시지역/주거지역/제1종일반주거지역
8173,영진포장산업,엄○○,해당없음,부산광역시 강서구 과학산단2로19번길 100-68 (지사동),051-941-9372,051-941-9372,2016-09-28,미등록,2017-04-20,2017-04-20,1656,767.25,60,16232,"목재 포장용 상자, 드럼 및 유사용기 제조업",도시지역/공업지역/일반공업지역
8174,영진피팅공업사,김○○,해당없음,부산광역시 강서구 미음산단3로 114 (미음동),051-314-4471,051-314-4470,2011-08-10,2011-08-10,2015-03-11,2015-03-11,3272.5,2562.89,437.7,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/일반공업지역
8175,영창기연,윤○○,해당없음,부산광역시 강서구 제도로1041번길 246 (강동동),051-312-0481,미등록,미등록,미등록,2012-06-12,2012-06-12,323,185.4,45.56,29169,기타 물품 취급장비 제조업,도시지역/주거지역/제1종일반주거지역
8176,영창레이져,김○○,해당없음,부산광역시 강서구 대저중앙로348번길 8-25 (대저1동),미등록,미등록,미등록,미등록,2015-03-16,2015-03-16,618,303,15,29223,금속 절삭기계 제조업,도시지역/주거지역/제1종일반주거지역
8177,영테크,주○○,해당없음,"부산광역시 강서구 녹산산업북로 241, (송정동,1599-9) (송정동)",051-972-0883,051-972-0886,2013-03-12,2013-03-12,2014-12-29,2014-12-29,0,542,127.27,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
8178,영풍밸브,조○○,해당없음,부산광역시 사상구 새벽로201번길 5 (괘법동),051-317-8925,051-317-8928,미등록,미등록,2011-11-09,2011-11-09,759.9,58.4,0,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/준공업지역
8179,영풍산업,김○○,해당없음,부산광역시 강서구 화전산단6로102번길 21 (화전동),051-303-2782,051-301-5661,2006-10-17,2021-06-29,2011-06-29,2021-06-29,1653.3,999.33,386.37,"31202, 25111, 25113, 25114, 25119, 25122, 25130, 25912, 25929, 25933, 26410, 26421, 27215, 27216, 27309, 28901, 28909, 29120, 29131, 29133, 29142, 29169, 29171, 29172, 29173, 29174, 29175, 29176, 29177, 29192, 29199, 29280, 29299, 31910",철도차량 부품 및 관련 장치물 제조업 외 33종,도시지역/공업지역/일반공업지역
8180,영풍텍스타일(주),김○○,해당없음,부산광역시 사하구 신산로13번길 37 (신평동),051-317-1502,051-317-1506,2011-05-13,2011-05-13,2013-06-17,2013-06-17,4451.1,2526,200,13402,"직물, 편조원단 및 의복류 염색 가공업",도시지역/공업지역/일반공업지역
8181,영화기업,김○○,해당없음,부산광역시 강서구 낙동남로605번길 46-29 (녹산동),051-941-7331,051-941-7332,미등록,미등록,2013-12-12,2013-12-12,1019,493.92,0,25944,금속선 가공제품 제조업,도시지역/주거지역/제1종일반주거지역
8182,영화기업,김○○,해당없음,부산광역시 강서구 낙동남로605번길 46-33 (녹산동),051-941-7331,051-941-7332,미등록,미등록,2021-04-27,2021-04-27,1019,493.92,0,25944,금속선 가공제품 제조업,도시지역/주거지역/제1종일반주거지역
8183,영화산업,김○○,해당없음,부산광역시 사하구 하신중앙로3번가길 28 (장림동),051-972-8014,051-972-8015,2011-08-05,2011-08-05,2011-08-08,2012-09-24,0,673.04,374.71,22199,그 외 기타 고무제품 제조업,도시지역/공업지역/전용공업지역
8184,영화산업주식회사,김○○,해당없음,부산광역시 강서구 녹산산단361로 20 (송정동),043-260-4401,043-260-4403,2021-03-17,2021-03-17,2021-03-22,2021-03-22,0,297.53,0,"25111, 24132, 24133, 29133, 29169, 29210","금속 문, 창, 셔터 및 관련제품 제조업 외 5종",도시지역/공업지역/일반공업지역
8185,예광공업사,예○○,해당없음,부산광역시 영도구 해양로 108 (청학동),051-416-6011,051-412-4523,1993-10-01,1993-10-01,2000-06-15,2000-06-15,299,309,41,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/전용공업지역
8186,예도디자인,허○○,해당없음,부산광역시 기장군 정관읍 매곡길 46,070-7779-5135,051-980-5132,미등록,미등록,2018-10-26,2020-10-20,494,104.14,104.14,"33932, 33910",전시용 모형 제조업 외 1종,도시지역/공업지역/일반공업지역
8187,예림목공 2공장,남○○,해당없음,부산광역시 기장군 정관읍 예림리 504-1번지,미등록,미등록,2016-02-02,미등록,2016-05-17,2016-05-17,307,44,0,32029,기타 목재가구 제조업,도시지역/주거지역/제2종일반주거지역
8188,예성철강(주),이○○,해당없음,부산광역시 강서구 화전산단5로 28(화전동),051-973-2270,051-972-2271,2021-09-01,2021-09-01,2022-03-22,2022-03-22,3969.3,2765.18,568.25,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
8189,예성테크,소○○,해당없음,부산광역시 강서구 제도로1092번다길 38 (강동동),070-7570-6001,070-4064-6004,미등록,미등록,2013-08-23,2013-08-23,362,187.2,0,29293,주형 및 금형 제조업,도시지역/주거지역/제1종일반주거지역
8190,예술공사,정○○,해당없음,부산광역시 기장군 정관읍 산단3로 42-31,051-611-4640,051-611-4640,미등록,미등록,2020-08-05,2020-08-05,1849,367.5,0,"25112, 25113, 25119",구조용 금속 판제품 및 공작물 제조업 외 2종,도시지역/녹지지역/자연녹지지역
8191,예스패키지,강○○,해당없음,부산광역시 사하구 장림번영로104번길 110 (장림동),미등록,051-973-7024,미등록,미등록,2023-04-24,2023-04-24,300,300,0,18113,오프셋 인쇄업,도시지역/공업지역/준공업지역
8192,예스퍼니처,오○○,해당없음,부산광역시 강서구 맥도길545번길 51-1 (대저2동),051-941-3962,051-941-3964,미등록,미등록,2013-03-28,2013-03-28,715,330,0,32029,기타 목재가구 제조업,도시지역/주거지역/제1종일반주거지역
